photo,lat,lon
"""Seagull on Sands""",34.412074,-119.883306
"""An unexpected Meeting""",34.412091,-119.848367
"""8 AM Section""",34.404896,-119.844195
"""Quiet Reflection After a Midterm""",34.407128,-119.849729
"""Common sunflower Helianthus annuus""",34.413683,-119.865191
"""Bush sunflower Encelia californica""",34.411107,-119.841984
"""IVPD Clamps Down on Halloween Celebrations""",34.4112,-119.858576
"""Among the Kelp""",34.406903,-119.849379
"""You Can't Park There, Mate!""",34.409898,-119.85221
"""Leaning Tower of Manzi""",34.409077,-119.851583
